"0%","Puzzle ID:Puzzle Name","Author","XP<br><small>(before v21.0)</small>","<span typeof=""mw:File""><a href=""/wiki/Levelling#Experience"" title=""Levelling""><img alt=""Experience"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element ls-is-cached lazyloaded"" data-image-name=""Experience.png"" data-image-key=""Experience.png"" data-relevant=""1"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/e/e1/Experience.png/revision/latest/scale-to-width-down/30?cb=20250204172940""></a></span><br>XP","<span typeof=""mw:File""><a href=""/wiki/MP"" title=""MP""><img alt=""Mental power"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloaded"" data-image-name=""Mental power.png"" data-image-key=""Mental_power.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/9/98/Mental_power.png/revision/latest/scale-to-width-down/30?cb=20250202125930""></a></span><br>MP","Size","Category 1","Category 2","Puzzle<br>type","Added"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-0-4"" data-testid=""checkbox-0"" data-tpt-row-id=""103298"" data-table-id=""4""> <label for=""checkbox-0-4""></label> </p> </div>","[#103298:Zombie]","Draco Machination","3005","2774","56","80x80","Unreal","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","1"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-1-4"" data-testid=""checkbox-1"" data-tpt-row-id=""166558"" data-table-id=""4""> <label for=""checkbox-1-4""></label> </p> </div>","[#166558:A lot of Skulls]","skullgirl","2983","2754","56","80x80","Unreal","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","2"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-2-4"" data-testid=""checkbox-2"" data-tpt-row-id=""72380"" data-table-id=""4""> <label for=""checkbox-2-4""></label> </p> </div>","[#72380:Cat]","SHAMKIREC","2316","2138","43","80x80","Cats","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","3"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-3-4"" data-testid=""checkbox-3"" data-tpt-row-id=""50895"" data-table-id=""4""> <label for=""checkbox-3-4""></label> </p> </div>","[#50895:Nest]","Street Fighter","2918","2693","54","80x76","Birds","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","4"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-4-4"" data-testid=""checkbox-4"" data-tpt-row-id=""113058"" data-table-id=""4""> <label for=""checkbox-4-4""></label> </p> </div>","[#113058:Black Skull 2.0]","skullgirl","2568","2370","48","78x80","Unreal","Painting","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","5"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-5-4"" data-testid=""checkbox-5"" data-tpt-row-id=""162967"" data-table-id=""4""> <label for=""checkbox-5-4""></label> </p> </div>","[#162967:ONE PIECE - SANJI]","ayakasumiria","2488","2297","46","80x80","Anime","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","6"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-6-4"" data-testid=""checkbox-6"" data-tpt-row-id=""46444"" data-table-id=""4""> <label for=""checkbox-6-4""></label> </p> </div>","[#46444:Alice in Wonderland]","Ksana","2365","2183","44","80x80","Movies","Fantasy","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","7"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-7-4"" data-testid=""checkbox-7"" data-tpt-row-id=""15482"" data-table-id=""4""> <label for=""checkbox-7-4""></label> </p> </div>","[#15482:Electrical panel]","krovosos","2470","2470","50","80x80","Machines","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Mosaic icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Mosaic icon.png"" data-image-key=""Mosaic_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/3/3a/Mosaic_icon.png/revision/latest?cb=20220306085858""></a></span>","8"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-8-4"" data-testid=""checkbox-8"" data-tpt-row-id=""112509"" data-table-id=""4""> <label for=""checkbox-8-4""></label> </p> </div>","[#112509:Black Skull 1.0]","skullgirl","3442","3177","60","80x80","Unreal","Painting","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","9"
"<div class=""wds-checkbox checkbox_wrapper""> <p> <input type=""checkbox"" id=""checkbox-9-4"" data-testid=""checkbox-9"" data-tpt-row-id=""62684"" data-table-id=""4""> <label for=""checkbox-9-4""></label> </p> </div>","[#62684:Lotus flower]","Jobedash","3609","3331","60","80x80","Flowers","","<span typeof=""mw:File""><a href=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" class=""mw-file-description image""><img alt=""Recursion method icon"" src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858"" decoding=""async"" loading=""lazy"" width=""30"" height=""30"" class=""mw-file-element lazyloading"" data-image-name=""Recursion method icon.png"" data-image-key=""Recursion_method_icon.png"" data-relevant=""0"" data-src=""https://static.wikia.nocookie.net/nonograms-katana/images/a/a3/Recursion_method_icon.png/revision/latest?cb=20220306085858""></a></span>","10"
